CRIM,ZN,INDUS,CHAS,ID
0.03615,80.0,4.95,NoBound,6
1.3547200000000001,0.0,8.14,NoBound,7
0.11069000000000001,0.0,13.89,Bound,8
0.04684,0.0,3.41,NoBound,9
5.7081800000000005,0.0,18.1,NoBound,10
0.030489999999999996,55.0,3.78,NoBound,11
0.14476,0.0,10.01,NoBound,12
0.043789999999999996,80.0,3.37,NoBound,13
0.26169000000000003,0.0,9.9,NoBound,14
11.9511,0.0,18.1,NoBound,15
15.288,0.0,18.1,NoBound,16
0.52693,0.0,6.2,NoBound,17
0.03445,82.5,2.03,NoBound,18
2.36862,0.0,19.58,NoBound,19
0.25356,0.0,9.9,NoBound,20
2.15505,0.0,19.58,NoBound,21
0.3692,0.0,9.9,NoBound,22
0.34109,0.0,7.38,NoBound,23
0.03584,80.0,3.37,NoBound,24
15.8603,0.0,18.1,NoBound,25
1.6128200000000001,0.0,8.14,NoBound,26
0.03113,0.0,4.39,NoBound,27
0.5341199999999999,20.0,3.97,NoBound,28
8.15174,0.0,18.1,NoBound,29
0.0795,60.0,1.69,NoBound,30
0.19133,22.0,5.86,NoBound,31
0.02009,95.0,2.68,NoBound,32
9.92485,0.0,18.1,NoBound,33
0.045439999999999994,0.0,3.24,NoBound,34
0.27957,0.0,9.69,NoBound,35
6.288069999999999,0.0,18.1,NoBound,36
0.06905,0.0,2.18,NoBound,37
20.7162,0.0,18.1,NoBound,38
5.69175,0.0,18.1,NoBound,39
0.06724,0.0,3.24,NoBound,40
0.037380000000000004,0.0,5.19,NoBound,41
0.6147,0.0,6.2,NoBound,42
6.39312,0.0,18.1,NoBound,43
10.232999999999999,0.0,18.1,NoBound,44
11.8123,0.0,18.1,NoBound,45
1.8337700000000001,0.0,19.58,Bound,46
13.3598,0.0,18.1,NoBound,47
2.924,0.0,19.58,NoBound,48
0.22876,0.0,8.56,NoBound,49
4.64689,0.0,18.1,NoBound,50
0.1029,30.0,4.93,NoBound,51
0.02985,0.0,2.18,NoBound,52
2.3004,0.0,19.58,NoBound,53
0.20745999999999998,0.0,27.74,NoBound,54
0.11027,25.0,5.13,NoBound,55
9.91655,0.0,18.1,NoBound,56
0.7904100000000001,0.0,9.9,NoBound,57
0.7842,0.0,8.14,NoBound,58
0.33147,0.0,6.2,NoBound,59
11.0874,0.0,18.1,NoBound,60
0.05735,0.0,4.49,NoBound,61
7.67202,0.0,18.1,NoBound,62
8.49213,0.0,18.1,NoBound,63
0.28955,0.0,10.59,NoBound,64
0.0578,0.0,2.46,NoBound,65
0.57529,0.0,6.2,NoBound,66
0.024980000000000002,0.0,1.89,NoBound,67
0.08199,0.0,13.92,NoBound,68
2.2423599999999997,0.0,19.58,NoBound,69
0.30346999999999996,0.0,7.38,NoBound,70
24.3938,0.0,18.1,NoBound,71
3.69695,0.0,18.1,NoBound,72
1.00245,0.0,8.14,NoBound,73
0.13117,0.0,8.56,NoBound,74
2.81838,0.0,18.1,NoBound,75
6.53876,0.0,18.1,Bound,76
0.01096,55.0,2.25,NoBound,77
1.4250200000000002,0.0,19.58,NoBound,78
0.07886,80.0,4.95,NoBound,79
0.32543,0.0,21.89,NoBound,80
0.15098,0.0,10.01,NoBound,81
0.0837,45.0,3.44,NoBound,82
11.1604,0.0,18.1,NoBound,83
0.062110000000000005,40.0,1.25,NoBound,84
0.06466000000000001,70.0,2.24,NoBound,85
7.52601,0.0,18.1,NoBound,86
0.19186,0.0,7.38,NoBound,87
0.26838,0.0,9.69,NoBound,88
0.55778,0.0,21.89,NoBound,89
0.06076,0.0,11.93,NoBound,90
0.61154,20.0,3.97,NoBound,91
0.10574000000000001,0.0,27.74,NoBound,92
0.08829,12.5,7.87,NoBound,93
37.6619,0.0,18.1,NoBound,94
0.11747,12.5,7.87,NoBound,95
0.06262999999999999,0.0,11.93,NoBound,96
0.04203,28.0,15.04,NoBound,97
0.31533,0.0,6.2,NoBound,98
0.10793,0.0,8.56,NoBound,99
12.2472,0.0,18.1,NoBound,100
9.96654,0.0,18.1,NoBound,101
0.1415,0.0,6.91,NoBound,102
0.15445,25.0,5.13,NoBound,103
16.8118,0.0,18.1,NoBound,104
0.05646,0.0,12.83,NoBound,105
8.792119999999999,0.0,18.1,NoBound,106
1.27346,0.0,19.58,Bound,107
0.06047,0.0,2.46,NoBound,108
0.11432,0.0,8.56,NoBound,109
0.5405,20.0,3.97,NoBound,110
0.09178,0.0,4.05,NoBound,111
7.36711,0.0,18.1,NoBound,112
0.07503,33.0,2.18,NoBound,113
0.66351,20.0,3.97,NoBound,114
0.08664,45.0,3.44,NoBound,115
0.054970000000000005,0.0,5.19,NoBound,116
0.80271,0.0,8.14,NoBound,117
0.033589999999999995,75.0,2.95,NoBound,118
0.57834,20.0,3.97,NoBound,119
0.06617,0.0,3.24,NoBound,120
9.513630000000001,0.0,18.1,NoBound,121
0.12744,0.0,6.91,NoBound,122
3.83684,0.0,18.1,NoBound,123
0.04297,52.5,5.32,NoBound,124
0.23911999999999997,0.0,9.69,NoBound,125
0.08265,0.0,13.92,NoBound,126
0.04527,0.0,11.93,NoBound,127
0.13914,0.0,4.05,NoBound,128
0.04113,25.0,4.86,NoBound,129
0.18836,0.0,6.91,NoBound,130
0.40202,0.0,9.9,NoBound,131
0.02875,28.0,15.04,NoBound,132
11.5779,0.0,18.1,NoBound,133
0.04462,25.0,4.86,NoBound,134
0.05515,33.0,2.18,NoBound,135
3.32105,0.0,19.58,Bound,136
4.668830000000001,0.0,18.1,NoBound,137
0.06588,0.0,2.46,NoBound,138
88.9762,0.0,18.1,NoBound,139
0.10659,80.0,1.91,NoBound,140
0.54452,0.0,21.89,NoBound,141
0.1712,0.0,8.56,NoBound,142
0.08244,30.0,4.93,NoBound,143
0.035019999999999996,80.0,4.95,NoBound,144
